TS	Initial_Agreement	Final_Agreement	SD_Final_Agreement	DRSQ_Training	DRSQ_Test	M_coeff_a	SD_coeff_a	Low_coeff_a	High_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	High_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	High_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	High_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	High_coeff_e
Fri Jul  5 05:31:24 2019	3.5636622564663774	3.884675041549824	0.005598369189455207	8.098043107192577	7.4332380295338325	-0.3225819873349253	0.015669278650212913	-0.34232453729242374	-0.28365859431686447	0.26814028481300567	0.011346595495612224	0.24805072754711058	0.280285150267362	0.04742908706776637	0.002537668580263081	0.0422618328489676	0.05173465397882195	1.4172397214228927	0.23705404697557522	1.001460049577344	1.7158342807194256	-0.004607915937757723	0.0021070112220794458	-0.008829995169135896	-0.0012004092310439062
Fri Jul  5 05:33:22 2019	3.0162939440711445	3.2887769813103165	0.0026931638208625612	8.214193529683296	7.3392661612062575	-0.3227973438925822	0.016503513117818263	-0.3427839899376322	-0.28365859431686447	0.26919980652659975	0.0137170455313127	0.2471678066568592	0.29359728834551096	0.047366250641994005	0.0023334705564050802	0.04264425630532814	0.05084925822544707	1.3763198610163279	0.22905471109656234	0.9570358454671348	1.6719363824488511	-0.004860131454750833	0.002127983058577245	-0.008829995169135896	-0.0016049557270851928
Fri Jul  5 05:35:26 2019	3.876619437233614	4.150962324966763	0.013268969401652694	6.598662794031945	8.851679547179247	-0.32825232320226816	0.016411363859213206	-0.34838867082788644	-0.29540975751598103	0.2671039586234977	0.015285877125913335	0.2430799624242094	0.2932137693104982	0.04685395961026037	0.002695391271096585	0.042358159272607505	0.05080263013471454	1.3602522802138421	0.20727557931138532	0.9570358454671348	1.6719363824488511	-0.0055202157763413065	0.0024422142574394004	-0.010498663417267066	-0.002443876440573779
Fri Jul  5 05:37:28 2019	3.537985105945638	3.7692219774654983	0.016384223563497384	5.967027597927811	9.393866093136742	-0.3384174922071342	0.022708119377747388	-0.385925838504053	-0.29552187025894566	0.26282463745633106	0.015406645272433255	0.2368653574155511	0.2897409198454532	0.04505002957846939	0.002923563477445008	0.040182560586538046	0.05012945264296184	1.3129579028602563	0.18839347581871993	0.9895780488512378	1.5705236382921508	-0.006722757591187579	0.0027229654156369298	-0.011310544620850266	-0.002502374153576526
Fri Jul  5 05:39:25 2019	4.058333402872181	4.276560798028521	0.013068083909911129	5.296582411206199	9.700569737891765	-0.33814301102807437	0.027495547418244063	-0.385925838504053	-0.29540975751598103	0.258979305701823	0.013910180977422153	0.23327964155606776	0.279694109972019	0.04327143340017438	0.0026227510677816904	0.03970699746365325	0.04692827435888714	1.2976219977131123	0.21163259482802935	0.9895780488512378	1.5705236382921508	-0.007850137904434	0.002539324076523589	-0.011691529028274502	-0.003975595352002622
Fri Jul  5 05:41:20 2019	3.5340442201676376	3.8511324986014785	0.014650782883145592	7.831822787951016	7.6169017810962485	-0.33378663998541463	0.02825249106740582	-0.37812675911329857	-0.2966116526067995	0.25694018887872533	0.013783841140046079	0.23327964155606776	0.279694109972019	0.04383903947848322	0.0029867265734087956	0.03970699746365325	0.0499019268504567	1.3229502453333202	0.24530723936185497	0.956696867521105	1.641472374519253	-0.00760083343312308	0.0025293432104581083	-0.011665456048060128	-0.003673952640822112
Fri Jul  5 05:43:14 2019	4.004538098994735	4.226994848271871	0.023503251609334214	5.501311858462185	9.653932028701563	-0.3295907791672798	0.022204519235535312	-0.37092020976484175	-0.2966116526067995	0.25801144960053884	0.012432099950111896	0.2378944773130889	0.27444467795531946	0.04345290775028018	0.003063800608324372	0.0393899983138452	0.0499019268504567	1.3324016571669905	0.2713562477794873	0.956696867521105	1.6627924225525597	-0.00741111458022152	0.0025141381188818713	-0.011918586949665518	-0.0037614722086751397
Fri Jul  5 05:45:18 2019	3.6247691013761036	3.867306861866771	0.01825824166590972	6.5736745586436784	9.484480122989503	-0.3210760025725582	0.022581255969724084	-0.35879303098659443	-0.28805159989934326	0.25763153320838694	0.012910308436075818	0.23125365330338835	0.2806969297086498	0.04326314180087386	0.00279368059810113	0.038818491674192	0.04907488492255199	1.3749955197732977	0.3396465882958386	0.8891918379105318	2.009016167221633	-0.0071250410094261295	0.0024996501787162622	-0.011023962655738875	-0.0032681785501078153
Fri Jul  5 05:47:16 2019	3.4415599157930132	3.7542512971987825	0.016277333464330027	8.579500942614677	7.0665955734031325	-0.31325312833814667	0.019323911039860604	-0.34291134511012294	-0.28141793235784046	0.2661752600191206	0.018352161441070616	0.24068005950782909	0.29481075556651287	0.04271880110338974	0.002391087445682193	0.03860573228487905	0.04669569602123982	1.4573290072447853	0.3357204003946387	0.9476796589003774	2.0436635895393214	-0.006728530477895472	0.0024380805614497188	-0.010908690467893816	-0.0032681785501078153
Fri Jul  5 05:49:19 2019	3.8356521642415586	4.176676461004931	0.026416456886641283	7.692304925919373	7.5419600249476835	-0.3192310622279994	0.019596072557824157	-0.34889196071343	-0.2904227706647863	0.2624487057939317	0.02091141304199089	0.2375342240698248	0.29481075556651287	0.04317550756893216	0.0021786106169800457	0.03981337192014949	0.04701741385555273	1.4372263609499853	0.34567669172059223	0.8891918379105318	2.010676736415251	-0.0053703441369609105	0.0023419051116029366	-0.008665828975952056	-0.0007985674261803931
