intnum	sex	age	Zeitung_W1	TV_W1	Zeitung_W2	TV_W2	Zeitung_W3	TV_W3	Einstellung_W1	Einstellung_W2	Einstellung_W3	Einstellung_Pro1	Einstellung_Pro2	Einstellung_Pro3	Cert1	Cert2	Cert3	Media_Reliance	Disk_Reliance	dim_bildung	dim_x	dim_y	dim_lr	dim_spr
22382	1	54	30	6	2	30	2	16	8	8	8	.704716067810666	.746802581172806	.365915352221236	1	1	1	.533333333333333	.6	.6	7.02	2.76	.2	1
22402	2	34	15	2	2	30	2	30	10	10	10	.0295600960153441	.514876547082332	.499624234156799	1	1	1	.933333333333333	.2	.6	7.25	2.7	0	1
22405	1	32	22	8	2	30	-99.99	-99.99	10	10	10	.545271758633322	.489075898031014	.620035094465223	1	1	1	.733333333333333	.4	.6	7.25	2.7	0	1
22432	2	78	15	-99.99	2	16	1	30	1	1	1	-.383755571451334	-.728048123485313	-1.46155784650669	.6	.6	.8	.666666666666667	.7	.6	6.94	2.28	-.6	1
22441	2	28	-99.99	8	8	-99.99	 	 	5	4	 	.47955496737289	.345993389536651	 	.6	.6	 	.666666666666667	.2	.6	6.64	2.6	.6	1
22497	2	67	32	2	2	30	2	20	6	7	7	-.177910460299887	.0605233344357625	.171317993428343	.8	.6	.8	.733333333333333	.6	.6	6.14	1.77	.4	1
22524	1	53	33	9	3	31	3	32	6	8	8	1.51172929087557	1.54440008890736	.751502194511152	1	.8	1	.466666666666667	.4	.6	5.75	1.61	.4	0
22531	2	52	21	2	2	21	2	21	10	10	10	.626390808329	.818021206240926	.28306006978674	1	1	1	.733333333333333	.4	.6	6.72	2.16	.4	1
22551	2	36	30	8	2	30	8	30	8	7	4	 	.609752572831928	1.26597433747227	.8	.4	.8	.866666666666667	.2	.6	7	2.39	.2	1
22554	2	59	30	6	1	30	 	 	10	9	 	 	.978546753743132	 	1	1	 	.733333333333333	.4	.4	6.18	2.33	 	1
22642	1	45	20	1	1	-99.99	1	30	10	10	10	1.97676491530382	1.82613759973634	1.54232835306801	1	1	1	.533333333333333	.8	.6	6.15	1.865	-.2	1
22681	1	51	19	2	2	19	2	19	8	9	7	.197011818277726	.801159284204144	.899794911688288	1	1	.8	.666666666666667	.733333333333333	1	6.15	2.69	0	1
22698	2	59	31	3	3	31	-99.99	-99.99	7	3	5	1.1124060182319	-1.14648806719356	-.22147242907784	.6	1	1	.466666666666667	.2	.6	5.54	2.17	0	0
22699	2	77	31	3	 	 	 	 	10	 	 	-.673686695408053	 	 	1	 	 	.933333333333333	.4	.8	5.54	2.17	0	0
22703	2	33	30	6	 	 	 	 	10	 	 	1.02157307228745	 	 	.4	 	 	.866666666666667	.533333333333333	.6	6.91	1.93	0	1
22789	2	54	13	2	 	 	 	 	10	 	 	.855370826579025	 	 	1	 	 	.8	.266666666666667	1	6.22	2.31	.6	1
22835	1	78	20	2	1	20	2	20	10	10	8	1.17328229033698	1.39747454408082	1.56825387818835	.2	1	1	1	.7	.6	5.97	1.99	1	1
22858	1	35	15	8	1	15	6	15	5	9	9	.475052408563097	.538717591226212	.149803372683566	.8	.8	.8	1	.266666666666667	1	6.5	2.44	.6	1
